brand,model,img_link,link,msrp_price,discount_price,year
Rocky Mountain,"
       EMTB קרבון   POWERPLAY INSTINCT C 70
    ",https://www.rosen-meents.co.il/files/catalog/item/thumb/Web_MY20_Instinct_PP_C70_Shimano_C2_Profile.jpg?v=1,https://www.rosen-meents.co.il/index.php?dir=site&page=catalog&op=item&cs=18528,"39,770",,2020
Rocky Mountain,"
       EMTB קרבון   POWERPLAY ALTITUDE C 70 
    ",https://www.rosen-meents.co.il/files/catalog/item/thumb/Web_MY20_Altitude_PP_C70_Shimano_C2_Profile_0.jpg?v=1,https://www.rosen-meents.co.il/index.php?dir=site&page=catalog&op=item&cs=18514,"39,770",,2020
Merida,"
       קרבון   E ONE-SIXTY 9000
    ",https://www.rosen-meents.co.il/files/catalog/item/thumb/eONE_SIXTY_9000_grnblk_MY2020.jpg?v=1,https://www.rosen-meents.co.il/index.php?dir=site&page=catalog&op=item&cs=18196,"37,999",,2020
Merida,"
       קרבון   E ONE-SIXTY 8000
    ",https://www.rosen-meents.co.il/files/catalog/item/thumb/eONE_SIXTY_8000_prpblk_MY2020.jpg?v=1,https://www.rosen-meents.co.il/index.php?dir=site&page=catalog&op=item&cs=18155,"31,499",,2020
Orbea,KERAM 30,https://www.recycles.co.il/Media/Uploads/KERAM_30_4(2)_png.webp,https://www.recycles.co.il/ebikes_mtb-22_keram_30,12599,,2022
Orbea,RISE M20,https://www.recycles.co.il/Media/Uploads/Rise_M20_3(2)_png.webp,https://www.recycles.co.il/ebikes_mtb-22_rise_m20?bsp=640183,29999,,2022
Orbea,RISE M10,https://www.recycles.co.il/Media/Uploads/Rise_M10(3)_png.webp,https://www.recycles.co.il/ebikes_mtb-22_rise_m10?bsp=640183,38999,,2022
Orbea,RISE M-TEAM,https://www.recycles.co.il/Media/Uploads/Rise_M-Team_2(2)_png.webp,https://www.recycles.co.il/ebikes_mtb-22_rise_m_team?bsp=640183,45999,,2022
Orbea,RISE M-LTD,https://www.recycles.co.il/Media/Uploads/Rise_M-Ltd_3(2)_png.webp,https://www.recycles.co.il/ebikes_mtb-22_rise_m_ltd?bsp=640183,48999,,2022
Orbea,WILD FS H20,https://www.recycles.co.il/Media/Uploads/Wild_FS_H20(2)_png.webp,https://www.recycles.co.il/ebikes_mtb-22_wild_fs_h20,25999,,2022
Orbea,WILD FS M20,https://www.recycles.co.il/Media/Uploads/Wild_FS_M20_2(2)_png.webp,https://www.recycles.co.il/ebikes_mtb-22_wild_fs_m20,31999,,2022
Orbea,RISE M20 LT,https://www.recycles.co.il/Media/Uploads/3(97)_png.webp,https://www.recycles.co.il/ebikes_mtb-21_rise_m20_lt,32999,,2021
Orbea,RISE H15,https://www.recycles.co.il/Media/Uploads/h15_sky_blue(2)_png.webp,https://www.recycles.co.il/ebikes_mtb-22_rise_h15,27999,,2022
Orbea,RISE H30,https://www.recycles.co.il/Media/Uploads/h30_anarchite_black(4)_png.webp,https://www.recycles.co.il/ebikes_mtb-22_rise_h30,24999,,2022
Orbea,KERAM 30,https://www.recycles.co.il/Media/Uploads/3(177)_png.webp,https://www.recycles.co.il/ebikes_mtb-21_keram_30,12399,,2021
Orbea,RISE M-LTD,https://www.recycles.co.il/Media/Uploads/2(139)_png.webp,https://www.recycles.co.il/ebikes_mtb-21_rise_m_ltd,48699,,2021
Orbea,RISE M10,https://www.recycles.co.il/Media/Uploads/3(100)_png.webp,https://www.recycles.co.il/ebikes_mtb-21_rise_m10,37899,,2021
Orbea,RISE M20,https://www.recycles.co.il/Media/Uploads/3(97)_png.webp,https://www.recycles.co.il/ebikes_mtb-21_rise_m20,29999,,2021
Orbea,WILD FS H25,https://www.recycles.co.il/Media/Uploads/WZ-HT25_284213(1)_png.webp,https://www.recycles.co.il/ebikes_mtb-21_wild_fs_h25,24599,,2021
Orbea,WILD FS M20,https://www.recycles.co.il/Media/Uploads/VW-M20-RET_284213(1)_png.webp,https://www.recycles.co.il/ebikes_mtb-21_wild_fs_m20,29899,,2021
